country,Luxembourg,Netherlands Antilles,Liechtenstein,Slovenia,Greece,Netherlands,United Kingdom,Romania,Lithuania,Belgium,Bahamas,Italy,Czech Republic,Croatia,Turkey,Slovakia,Estonia,Finland,Spain,Malta,Ireland,Austria,Cyprus,Latvia,Gibraltar,Poland,British Virgin Islands,Jersey,Bulgaria,France,Guernsey,Cayman Islands,Isle of Man,Portugal,United States,Sweden,Singapore,Germany,Switzerland,Indonesia,Hungary
Turkey,608.0,,,1.0,20.0,7753.0,461.0,325.0,176.0,202.0,6.0,71.0,,9.0,,9.0,,1.0,46.0,1087.0,750.0,548.0,,17.0,,16.0,1518.0,14.0,40.0,289.0,,358.0,,,1630.0,,1.0,989.0,375.0,104.0,20.0
Italy,32162.2122973,-32.1016695197,144.375786769,1376.60972903,2310.60494607,101964.948254,18925.9156619,4849.07673722,30.6020237244,18490.2529615,45.0610107531,,1348.27632606,1084.42534175,5031.09553617,4332.39796981,86.6666926098,868.607560017,39515.287347,443.567724249,11222.7554058,33110.7057104,222.935972034,34.9853364069,6.8723311809,13185.7266124,224.450870154,77.0451706941,619.370031112,33084.6989725,162.942378386,6.4503942726,17.724023346,8210.9037137,29997.9574146,2143.26132672,1518.96784825,43939.2367536,12252.3594687,233.811317985,1873.99748386
Czech Republic,79.3630892678,,50.6318956871,5.66198595787,,6495.69709127,122.241725176,704.252758275,3.28986960883,177.582748245,,14.9799398195,,6.54463390171,107.838515547,2158.89167503,0.401203610832,,18.0040120361,17.482447342,433.254764293,11.5697091274,578.345035105,6.76529588766,,536.188565697,0.411233701103,0.00501504513541,595.426278837,1.49949849549,12.6880641926,,,,24.4583751254,,,347.973921765,25.9277833501,,72.4022066199
Lithuania,,,,,,588.29699558,117.861691766,35.000374616,,4.49913838316,,1.7157413651,1.19502509927,0.138607926875,,0.303438975051,61.7367198621,2.35633475687,0.0824155240878,0.292200494493,0.314677455608,0.0936540046452,223.731924777,318.779501011,,170.513973177,,,47.2390799431,5.38323218701,,,,,0.0487000824155,2.42001948003,,20.3453959691,0.0299692814865,,5.33453210459
Luxembourg,,,,,2276.48766,484257.6018,384327.117,,,230241.7416,,84699.59973,1556.94987,,,,,,62592.02433,3992.9754,167143.4142,16676.04198,82476.67953,,,15214.19376,,,,78230.87607,,,,8380.71969,455908.2528,40768.84815,11268.83388,99205.64202,293641.5477,,37322.28672
France,48630.32577,,,567.11637,4046.0253,119941.9422,111067.98783,5307.31902,158.89092,165182.89692,1082.766906,52448.75406,9539.79531,995.26788,4174.25079,1478.9277,130.683942825,960.33258,49336.66578,1199.57469,23818.1112,697.15332,228.63213,103.512033921,,15554.48946,945.985181689,1684.39902,636.98697,,240.01845,-58.2255190805,,5202.12495,225596.790657,6967.91028,9765.360897,77087.9742,52065.75966,2467.20852,3685.54476
Bahamas,,,,1.94085063602,,,,5.17560169604,,671.534314184,,5.99075896317,30.9165997994,,224.0,1.29390042401,,,,,,,,27.0220588235,,,,,28.4994507393,218.669171658,,,,,2228.0,,16873.2989929,,,,
Slovakia,192.791163178,,51.7560169604,20.7024067842,,26.9713455,91.0206894,-6.4837329,,,,25.4962995,2328.7521627,16.3367814,36.2292118723,,,,,,,202.1395275,387.6977265,,,132.4254894,,,3.88170127203,79.4092308,,,,,14.2329046641,,,16.9060974,29.7597097523,,139.3711446
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,62798.1426,,,,,44511.4539,69180.9513,,,,,809.9814,,,,,,,,2.5878,,,,,,203.1423,,6624.768,,2560.6281,,,,,24829.941,,1561.7373,5408.502,5719.038,,18856.0047
Cayman Islands,,,,,,5197.08044308,,40.1109131443,,645.656305704,,-23.5619267212,153.461534604,0.894085192992,2.0,41.4048135684,,,,,,,,9.92647058824,,31.6029730204,,,83.9754314187,358.410417451,,,,,,725.93173338,36235.7192281,786.691457799,,,
Indonesia,,,,,,160.831822705,,,,323.475106003,,10.4417764218,1.17617853561,,11.0,,,,,,,,,,,4.9160180254,,,0.637892909038,108.687635617,,,,,169.0,,1208.65687707,,,,2.6517284361
Singapore,,,,,,5703.54424541,28597.755055,,,,,,,,,,,,,,,,,,,,25118.5515492,,,,,7871.45383255,,,5864.84200815,,,1290.76651034,2580.84108557,26782.8092566,
Slovenia,12.3581261089,,4.17193909532,,16.5537191583,201.282021787,24.1703990628,35.8463734706,0.546942114102,3.25397021167,,53.7550975481,39.4993748729,2125.49695285,14.655975812,57.1181960491,,1.77134134954,17.660712612,,0.532516410063,124.000758853,35.2309903478,-0.010442601096,22.7454612165,105.493547076,,,12.1450546273,18.0054936681,,,,0.978042862128,43.6108911543,44.5198361594,0.178100689899,243.635307548,64.079084929,,30.2562883912
Germany,104165.29011,349.353114483,450.2772,659.50083,3565.08267,116500.42698,127754.76918,7370.44257,1368.42864,56288.66109,59.26062,42156.5559,18859.75701,2909.46354,8128.92675,6502.49445,122.27355,7010.60898,33528.05436,24806.78019,9101.42199,42709.82754,1413.58575,532.69863,175.71162,22551.77127,151.90386,809.59323,2218.00338,49690.9356,937.43055,583.5489,556.24761,2977.78146,223922.07522,20568.61074,13513.75038,,34923.78429,2086.93131,12270.18309
Belgium,103378.46952,,27.1719089042,931.608305288,2057.30167418,133933.78863,17865.13608,958.7799,81.5157267127,,374.97222,11073.45498,4640.57235,243.253279714,4454.89915987,1968.28068,15.91497,526.74669,4403.27109,102.218133497,3945.61866,771.81135,2288.90985008,29.7597,13.32717,3973.43751,1700.18515127,-362.292124601,477.19032,60082.11711,109.981530163,1935.67502844,42.95748,981.81132,22335.3018,1153.64124,758.87235,11005.26645,4253.95503,1459.51967828,2011.75572
Spain,27904.6697393,,,,1128.82396887,54234.2795347,88287.0434245,1684.04346275,,6248.6360859,,8568.78127108,5387.65473237,,7527.21968697,390.757928051,,597.781995893,,795.128001198,11357.4797039,2379.08944405,,,,9096.49966704,,388.170127203,637.487647193,25626.3343034,,942.762850347,,32700.2058443,59702.1495561,1682.76951081,,14512.2415603,20626.2729756,,16764.87433
Netherlands,449291.350418,4083.54973818,,818.4486816,5593.7483691,,584247.201009,16684.7344002,715.9174578,162135.740424,5260.7929638,121690.812375,27913.4237388,5374.4711361,21205.4230335,12973.2340062,831.33075,14364.4443435,202769.977687,9513.5394912,147512.501847,25825.5543513,16145.879394,264.5262099,10401.8807691,27574.807521,3274.2333585,4636.2533118,7359.8934033,171063.96096,7586.666199,31075.3452834,,34749.4027992,502705.809331,59108.1002436,63201.7772928,262644.224587,262326.411693,17941.5292299,18546.7548366
Poland,11762.7728683,,103.265640545,18.4643296073,12.8752853046,3414.20378065,5646.16375022,637.004740446,2469.59676947,2741.44086147,17.5279452215,544.12711418,2461.63750219,43.2785158307,241.499385498,195.967694739,18.2009714988,216.099959033,469.508983438,191.461344882,427.488734125,249.195294668,4297.06794639,30.4032305261,,,9.01269971323,9.62720196641,47.1118394101,1008.36893545,0.468192192895,6.08649850764,155.352022005,20.395622403,2020.36636039,31.398138936,296.04377597,2243.54772634,4919.06127465,27.740387429,491.162872359
Finland,3781.2791181,,,9.78024351315,16.7048046891,20060.8948402,1793.62414294,264.605853864,418.827792045,25467.9851748,,403.703521387,114.975306825,19.589646,332.574126289,161.656035378,2042.53425555,,982.287885602,,141.878056649,960.6331459,390.118383546,472.153505699,,1556.77286729,,,,-44.4187076939,,,,30.4427578216,9305.05895403,32463.9296441,2207.36218176,5019.99545822,-1007.6697799,7.64759595,266.846223307
United States,357898.0,,267.0,,1440.0,595658.0,485029.0,1357.0,,50984.0,29785.0,26896.0,5840.0,-37.0,4027.0,,60.0,2123.0,45351.0,1116.0,184804.0,12556.0,1934.0,-3.0,34878.0,12744.0,200219.0,,,76283.0,,193688.0,,2421.0,,33422.0,119395.0,119648.0,107341.0,12046.0,6305.0
Netherlands Antilles,,,,,,12667.155761,,,,,,5.05915065788,,14.2212595603,,,,,,,,,,,,,,,,7.76340254407,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,1.71911764706,,,0.910477941176,,-0.102389705882,5.90128676471,3.93235294118,182.017279412,0.455698529412,,1.09172794118,,-0.589338235294,-0.0119485294118,18.8056985294,108.871323529,9.31617647059,0.0928308823529,0.0766544117647,0.000183823529412,8.52444852941,59.5814338235,,,37.5042279412,9.63014705882,,-0.476838235294,15.0523897059,,,,-4.88290441176,-0.0319852941176,9.40036764706,,-31.3266544118,174.899448529,,
