country,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Turkey,Singapore,Indonesia,United States,Bahamas,British Virgin Islands,Cayman Islands,Netherlands Antilles,Gibraltar,Guernsey,Isle of Man,Jersey,Liechtenstein,Switzerland
Luxembourg,16676.04198,230241.7416,C ,C ,82476.67953,1556.94987,C ,C ,78230.87607,99205.64202,2276.48766,37322.28672,167143.4142,84699.59973,C ,C ,,3992.9754,484257.6018,15214.19376,8380.71969,C ,C ,C ,62592.02433,40768.84815,384327.117,C ,11268.83388,C ,455908.2528,C ,C ,C ,,C ,C ,C ,C ,C ,293641.5477
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,124.000758853,3.25397021167,12.1450546273,2125.49695285,35.2309903478,39.4993748729,,1.77134134954,18.0054936681,243.635307548,16.5537191583,30.2562883912,0.532516410063,53.7550975481,-0.010442601096,0.546942114102,12.3581261089,,201.282021787,105.493547076,0.978042862128,35.8463734706,57.1181960491,,17.660712612,44.5198361594,24.1703990628,14.655975812,0.178100689899,,43.6108911543,,,,,22.7454612165,,,,4.17193909532,64.079084929
Greece,401.88534,,2621.506095,66.24768,12010.49736,4.14048,,,20.44362,492.32895,,267.96669,14.36229,40.62846,,,130.42512,0.25878,7577.33718,1196.72811,9.96303,4031.14545,-2.5878,15.00924,182.95746,4.01109,-74.91681,6309.31518,-2.07024,10.60998,2981.27499,,728.59509,2266.00707,,,42.43992,,573.97404,,1.2939
Netherlands,25825.5543513,162135.740424,7359.8934033,5374.4711361,16145.879394,27913.4237388,831.33075,14364.4443435,171063.96096,262644.224587,5593.7483691,18546.7548366,147512.501847,121690.812375,264.5262099,715.9174578,449291.350418,9513.5394912,,27574.807521,34749.4027992,16684.7344002,12973.2340062,818.4486816,202769.977687,59108.1002436,584247.201009,21205.4230335,63201.7772928,17941.5292299,502705.809331,5260.7929638,3274.2333585,31075.3452834,C ,10401.8807691,7586.666199,C ,4636.2533118,C ,262326.411693
United Kingdom,C ,C ,136.0568,C ,1023.5182,681.8301,137.6029,C ,85044.7766,32154.2417,2192.3698,C ,66253.4772,17673.4691,75.7589,64.9362,C ,C ,220939.2361,5886.0027,C ,819.433,C ,494.752,58108.6224,C ,,C ,13477.3537,C ,330013.4989,701.9294,1719.2632,C ,C ,C ,13817.4957,19810.1793,29159.446,C ,31889.8586
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0.0936540046452,4.49913838316,47.2390799431,0.138607926875,223.731924777,1.19502509927,61.7367198621,2.35633475687,5.38323218701,20.3453959691,,5.33453210459,0.314677455608,1.7157413651,318.779501011,,,0.292200494493,588.29699558,170.513973177,,35.000374616,0.303438975051,,0.0824155240878,2.42001948003,117.861691766,,,,0.0487000824155,,,,,,,,,,0.0299692814865
Belgium,771.81135,,477.19032,C ,C ,4640.57235,15.91497,526.74669,60082.11711,11005.26645,C ,2011.75572,3945.61866,11073.45498,29.7597,C ,103378.46952,C ,133933.78863,3973.43751,981.81132,958.7799,1968.28068,C ,4403.27109,1153.64124,17865.13608,C ,758.87235,C ,22335.3018,374.97222,C ,C ,C ,13.32717,C ,42.95748,C ,C ,4253.95503
