Netherlands Antilles,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,
,,,,,,,,,,,,
Reporting economy,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,
Argentina,,,,184.791,184.897,213.208,107.517,98.755,12.58,9.856,13.197,6.352
Belgium,,,,,,,,,14.4059956106,-269.912392095,,
Brazil,,,,,167.257577,,,,,884.0,923.0,
Bulgaria,,,,0.995695761142,1.88752030559,3.68760214987,,5.22026425587,161.103788059,40.7540977911,,
Canada,214.743187241,134.844264371,171.773444754,..,18.8922284242,18.87925856,7.08430320818,4.08296586641,,,,
Chile,,,,,,47.0,51.0,45.0,30.306,29.037,25.317,48.008
Croatia,,,,8.85943305072,8.81834423844,9.14716842008,14.0762135251,1162.1051401,1222.28752944,14.1850984312,14.2212595603,-7.88473717543
Cyprus,,,,-3.95690312738,-5.24022824839,-5.79480337837,1.32488937174,,,,,
Czech Republic,1.14410215395,0.949437643078,9.0954237156,32.7009939191,,5.84230695536,,,,,,
Denmark,,,,431.633623528,293.164244715,300.455717667,334.955569129,340.593010275,327.546675401,53.4444978889,52.2138680033,53.011963033
Estonia,..,..,..,8.05033711298,7.55951882389,17.5292802196,62.1284789387,66.0305672845,72.1438295482,60.0983444461,,
France,13.2194696349,78.6524630805,-1086.17950253,251.98866732,767.984824337,293.691171222,1282.19849198,1171.81085136,1129.43074674,1047.58074322,7.76340254407,7.91640278657
Germany,230.018771647,89.1394581579,109.880949675,119.86487959,90.8369147065,75.0690437653,176.651916232,178.137516596,112.366834497,-22.7153987688,,
Italy,,,,,,,4.00411010125,5.16320458259,5.63274772925,5.55859169872,5.05915065788,
Latvia,,,,,,,,8.28282828283,12.4744376278,12.523364486,,
Lithuania,,,,,,,,0.799771493859,-2.07882920339,,,
Mexico,,,,,,,,,64.98,66.49,69.8369395073,69.22
Netherlands,7284.80906679,8900.31272219,10371.7512497,9510.18851477,9168.6298844,10379.2830511,11990.2488142,14108.4913144,13278.5905165,11942.6877127,12667.155761,14279.2115263
Norway,2.66323405389,,,,,,3.14232902033,,,,,
Panama,,,,,,8.643,10.457,11.445,6.751,,,
Poland,,,,,,,,,,29.3174994096,,
Portugal,19.8485930078,18.3878971687,16.8623052771,,,,,,,67.8388703231,,
Romania,,,914.882679984,1792.3123025,,,5.88839720772,116.902745266,,26.7239985516,,
Spain,,,,,,,,,,505.083572624,,
Turkey,27.0,206.0,436.0,673.0,,469.0,12.0,3.0,6.0,16.0,,
United Republic of Tanzania,0.62,,,,,1.98,2.85,1.28,,,,
United States,4384.0,4034.0,3597.0,3532.0,5531.0,4675.0,6253.0,6351.0,6513.0,2405.0,,
Venezuela,39.100088,39.100088,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source:  UNCTAD FDI/TNC database.,,,,,,,,,,,,
,,,,,,,,,,,,
Note:  Data are based on information reported by the economies listed above.,,,,,,,,,,,,
