Austria,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,28510.8496594,42485.4681404,55960.78892,69806.2343358,71807.1709184,106125.238871,148810.102134,148730.909364,163230.114312,176568.13083,189569.351122,212321.880937
,Developed economies,,,,,24649.2407618,35744.4439784,45276.6347633,57640.8725618,65032.0111847,91235.2281901,121548.295162,121420.201351,129459.558744,135808.688239,142823.316603,158109.035254
,,Europe,,,,21946.9634878,32535.9704686,41646.1429261,53688.0557372,61417.4097795,85282.3847196,114798.719862,114116.563171,120596.984823,125630.853391,130742.168344,145582.647245
,,,European Union,,,20564.206964,30428.0800369,38806.9202264,48620.1917838,55029.4748093,78813.2769481,106571.156864,107261.05218,114614.171187,120848.59385,125094.292993,137898.45894
,,,,Belgium,,164.802721448,302.026091698,319.538853651,399.095564999,360.988258444,-2082.17821391,-2451.04533771,-98.8106537369,440.823735333,3335.15501923,2510.16682258,2715.32615579
,,,,Bulgaria,,278.490160308,435.211208524,1327.41239205,1024.29988014,1748.31568305,2138.80924693,4045.32888171,5128.41209888,5661.5597381,5454.36810437,5412.38547364,5599.53557104
,,,,Croatia,,529.660083371,1002.55883217,1529.49229949,1870.16454179,3355.06734319,4811.00380482,10194.2876659,7654.34641624,8456.32459609,8291.12055062,7826.80366484,7746.20012666
,,,,Cyprus,,,50.3376819497,93.4619571944,162.090007628,279.588945265,821.808479114,1841.59622672,3415.23020099,3149.15256679,3784.1181949,3722.55151988,3914.66117796
,,,,Czech Republic,,2250.83502983,4394.06015353,4481.12194765,5669.06396426,5578.80220321,8532.84797465,11171.7616024,12020.1072722,13916.2002723,14110.2712352,14021.998895,16537.3654212
,,,,Denmark,,138.363782178,566.298921935,521.618761099,584.341288003,686.585511158,2498.35045654,2057.9948241,1916.37000276,2070.14283553,1729.04270629,372.643322115,314.017310534
,,,,Estonia,,,,,27.7868584505,,96.1410560502,157.514625307,162.828823764,221.852468109,212.455788485,265.249586922,273.115896137
,,,,Finland,,135.719888251,197.15592097,133.877938684,130.761686826,120.329419481,161.991094441,238.480086913,256.072680107,717.419020248,219.136788123,978.188720552,1034.40996411
