Belgium,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,..,..,..,..,..,..,..,813206.113457,941207.653862,873317.556903,942822.53927,911489.338165
,Developed economies,,,,,..,..,..,..,..,..,..,750423.772452,881841.951637,817528.537966,889938.242074,862635.898184
,,Europe,,,,..,..,..,..,..,..,..,704330.690032,798678.969324,696586.410138,735643.204323,705995.355659
,,,European Union,,,..,..,..,..,..,..,..,673415.480707,765303.138348,658814.710492,694031.366734,656549.503905
,,,,Austria,,..,..,..,..,..,..,..,,6329.99834331,5951.43447743,5386.50746516,4559.84800507
,,,,Bulgaria,,..,..,..,..,..,..,..,,473.957545505,531.807571176,401.109131443,197.910069664
,,,,Croatia,,..,..,..,..,..,..,..,,247.783276069,272.584785226,243.253279714,54.0954190416
,,,,Cyprus,,..,..,..,..,..,..,..,,1331.11480865,1575.37971461,2288.90985008,2254.85539371
,,,,Czech Republic,,..,..,..,..,..,..,..,,5390.72685495,5065.53392545,3857.11716398,4844.83850538
,,,,Denmark,,..,..,..,..,..,..,..,,2575.79359077,2145.93708369,1560.44391136,2787.89318134
,,,,Estonia,,..,..,..,..,..,..,..,,105.163832285,77.4995957995,34.9353114483,15.8328055731
,,,,Finland,,..,..,..,..,..,..,..,9129.54772555,5569.36130979,4337.30496492,2696.48848364,1248.15283935
,,,,France,,..,..,..,..,..,..,..,117284.070888,150652.23185,98848.0620424,90747.706238,95868.9571459
,,,,Germany,,..,..,..,..,..,..,..,45608.771046,52116.6021998,56861.9879181,57511.2860464,48644.975723
,,,,Greece,,..,..,..,..,..,..,..,,1845.40916654,2393.13407029,2057.30167418,329.850116107
,,,,Hungary,,..,..,..,..,..,..,..,,5252.4292125,3808.1697936,3234.75106003,2323.46421786
,,,,Ireland,,..,..,..,..,..,..,..,,31972.6862156,30274.2817591,32730.5051258,57834.5999578
,,,,Italy,,..,..,..,..,..,..,..,20662.5602258,25613.8758635,23896.5995048,22874.8655961,25175.4802618
,,,,Latvia,,..,..,..,..,..,..,..,,115.248035381,57.4565968859,55.6377182325,63.3312222926
,,,,Lithuania,,..,..,..,..,..,..,..,,119.569836708,60.128996741,81.5157267127,150.411652945
