Bahamas,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,
,,,,,,,,,,,,
Reporting economy,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,
Argentina,,,,234.287,232.44,311.762,260.276,224.647,321.244,51.241,24.822,66.29
Belgium,,,,,,,,,569.037165882,320.687975895,671.534314184,721.712047655
Brazil,,,,,656.123854,,,,,1247.0,961.0,
Bulgaria,1.71676845658,5.69317845785,7.73587145697,11.7508445026,12.1509119672,17.9112104422,19.2845008553,32.439120112,26.7375442084,23.136301746,28.4994507393,14.9817922736
Canada,104.232073339,84.1985312737,87.4342308883,109.670987039,115.929583512,143.310735433,366.359680194,168.218193696,222.625644946,,,
Chile,,,,,,386.0,440.0,594.0,1716.414,7206.065,7048.416,8157.033
Croatia,,,,,,,1.75032607,,,,,
Cyprus,,,,3.62999891032,3.80925191672,4.64901271037,5.22595252185,-37.3532105112,26.2189280492,29.409760406,,
Czech Republic,0.953252985466,0.954613317408,1.32037888828,2.66776212833,101.52480885,147.17752443,,2.53912953582,0.759745209059,34.2155085062,30.9165997994,
Denmark,,,,116.687394835,203.349093152,283.145511711,334.955569129,416.280345891,385.349029884,338.481819963,295.878585352,247.389160821
El Salvador,65.2,71.4,66.4,67.8,68.6,74.9,75.2,75.2,130.0,141.651,137.212,143.973
Estonia,8.72749385295,7.14480473174,3.50608639421,0.883873000544,1.17970019099,1.22217671253,-0.978946035784,6.22228778672,2.24877729037,-0.646721629097,,
France,84.6046056632,87.0420591425,146.507932899,223.384548327,181.673829413,226.524132064,228.175391799,201.796405519,165.66905086,420.902977187,218.669171658,394.500738864
Germany,19.3885554645,..,..,,,,2352.41468448,711.158367036,760.637033516,..,,..
India,,,,,,,,,,7.36442758313,9.59444235824,14.1299406871
Israel,3.4442156,3.1464741,3.5192674,3.3613041,3.1762174,,,,,,,
Italy,,,,,,,118.077085008,107.244351788,124.39584819,5.959451677,5.99075896317,
Jordan,,,,,,,,,5.5,,,
"Korea, Republic of",92.507,96.83,150.421,148.598,147.894,146.128,146.1,146.1,66.7,30.8116602578,,
Latvia,8.934169279,10.2693602694,11.8299445471,17.6356589147,12.3102866779,7.08955223881,,,,19.6261682243,27.0220588235,
Lithuania,,,,,,0.672901459854,0.763617851688,,,,,1.05141980046
Malawi,,,,,,,13.6,44.5,15.5,14.7,,
Mexico,,,,,,,,,253.78,293.58,283.15178875,277.01
Nigeria,,,,,,,,,,22.805,18.124,18.381
Norway,-1.99742554041,,,39.238410596,45.4948301329,45.2076677316,281.515711645,1331.85714286,1282.52595156,1308.02047782,1333.38898164,1077.37881508
Pakistan,,,,,,,,,21.5,60.2,73.4,
Panama,,,,,,23.54,27.438,,,34.944,35.73,71.5
Papua New Guinea,50.2361631267,47.0232304711,56.7000567001,60.48,61.0469059878,62.3700623701,66.6224866755,70.5913990543,69.9300699301,71.5367146101,88.1686119741,89.8694752859
Peru,6.749,13.816,25.89,25.89,25.89,197.885,198.533,155.533,155.533,183.114,183.114,183.114
Philippines,8.638,8.638,8.638,8.638,16.698,16.698,16.698,16.698,16.698,16.698,16.698,16.698
Portugal,1880.48365633,2100.39095518,1894.5521783,,,,,,,3892.43056103,,
Romania,,,1.92671445856,1.47376185028,,2.63400153562,1.47209930193,,,5.34479971031,5.17560169604,5.27760185772
Singapore,4220.85359265,4913.44658796,5751.29350894,6693.10809157,6261.44694147,8787.36306729,9875.52039967,10359.1578655,13162.4625909,15961.631068,16873.2989929,16991.8267266
Slovakia,,,,,,,,1.40874435798,2.88120088453,1.33619992758,1.29390042401,
Slovenia,,,0.532985755893,,,0.615039358568,0.736049650965,0.556679739363,,,1.94085063602,1.8471606502
South Africa,3.4634890529,3.93518518519,6.17469879518,7.28241563055,6.95652173913,7.7474892396,7.9295154185,6.34067705535,7.9945799458,8.89679715302,148.227290032,87.5175711521
Thailand,,,,,,681.15,664.51,562.63,15.81,3.7,3.46,4.17
Turkey,,,,,,,36.0,17.0,261.0,385.0,224.0,423.0
United Republic of Tanzania,8.47,3.26,3.25,3.29,3.26,15.31,11.62,11.21,28.9,7.9,-78.7,
United States,1203.0,1299.0,1227.0,1122.0,650.0,513.0,760.0,236.0,694.0,127.0,2228.0,2876.0
Uruguay,,,,,,,,,255.22,277.14,360.512,343.253
Venezuela,61.984129,68.984129,,,,,,,,,,
Viet Nam,5.35,5.35,,,,,,,,,,
Zambia,,,,,,3.4,8.7,,24.1,5.0,8.32911849287,14.5878414758
,,,,,,,,,,,,
,,,,,,,,,,,,
Source:  UNCTAD FDI/TNC database.,,,,,,,,,,,,
,,,,,,,,,,,,
Note:  Data are based on information reported by the economies listed above.,,,,,,,,,,,,
