Switzerland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,252236.689922,292203.778493,341372.786816,400589.607635,431980.065434,569349.176432,652297.023545,723778.60299,864928.384279,1043105.15113,1112013.28515,1167921.12154
,Developed economies,,,,,192942.705549,219393.85637,255999.595774,293627.253446,325297.572852,398602.392854,480243.447357,544794.490928,638535.6623,754733.503619,826817.621426,840325.332751
,,Europe,,,,125314.851259,150513.267965,174241.814223,202999.116296,214108.194476,248296.894206,317483.696135,350102.096456,417690.441533,495807.684121,531911.255181,542681.431377
,,,European Union,,,110328.086806,132600.591289,150674.185464,178261.488158,190774.861143,224944.521839,283259.884496,304754.912099,372889.27705,447794.380587,489753.640132,499975.561859
,,,,Austria,,2850.83169379,3358.45111047,4570.05416768,4678.86178862,4072.20573689,6397.60714578,7200.2665482,7337.0311178,8326.73459486,8348.7654321,10280.5824211,10869.2995854
,,,,Belgium,,6452.87068503,8539.80386501,11102.0292667,13154.913397,8629.6127216,7128.57494059,7503.95379831,11769.7659114,12052.1106259,11477.9693487,14649.4845361,14192.7776566
,,,,Bulgaria,,34.5197639063,31.7998269397,71.8732314658,106.928243195,147.074488321,298.697041711,410.661928032,510.764313246,343.522561863,642.933163048,506.855138697,783.220597862
,,,,Croatia,,143.92177905,113.354485146,168.243188617,201.572993991,336.376778513,377.857903794,507.863171924,685.249600451,755.749636099,766.922094508,590.179615262,690.268383155
,,,,Czech Republic,,1163.71549514,1449.81251803,1264.61314577,1850.74231177,2310.73575287,2077.03023847,3035.98400711,2867.81987402,3351.2857836,4249.6807152,3435.54044,3583.02421994
,,,,Denmark,,730.757765456,1023.43524661,983.264613146,1454.75433015,1257.01894545,1916.41399656,3906.70812972,2222.33712513,1984.86171761,2191.03873989,2681.47518334,3037.74819987
,,,,Finland,,1309.72396113,1452.91318142,1441.10275689,1770.4135737,2226.05189074,2506.35089732,2587.29453576,2724.82842907,2686.85104318,2489.78288633,2725.6881709,2490.61749945
,,,,France,,10430.6325642,14533.0977791,16390.2498181,19930.5408271,20351.9744351,24801.5242154,28434.9178143,33466.5789226,31228.918001,36533.5249042,40321.0755659,33366.135719
