Cayman Islands,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,
,,,,,,,,,,,,
Reporting economy,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,
Argentina,,,,2076.709,2004.557,2124.089,2109.069,2267.896,1159.828,1716.719,2363.005,1487.145
Australia,..,..,..,197.865544909,..,..,..,868.770004572,..,1557.98857882,..,..
Bangladesh,,,,,,,,,,4.39,5.72,15.27
Belgium,,,,,,,,,298.204282737,879.219545622,645.656305704,664.977827684
Brazil,,,,,6149.441064,,,,,14759.0,16550.0,
Bulgaria,41.6307537742,45.409505232,,5.77122153209,16.3978326548,64.6647376995,45.3406584995,65.7397021207,111.169695529,87.840447039,83.9754314187,90.7628773485
Canada,13.1859851815,97.4930362117,152.429588363,240.11299435,237.870330614,467.690723419,631.515028843,,,,,
Chile,,,,,,8075.0,10449.0,8186.0,7858.595,7553.434,12188.408,14182.641
China,2624.0,3803.0,4669.0,6711.58,8659.0,10755.0,13362.0,16506.97,19088.86,21588.04,23830.0,25805.4
Croatia,31.8903853447,77.0192157475,135.606713909,93.6963296635,14.3568749482,15.3462282908,16.1003500652,15.234932767,16.8521439736,1.051589343,0.894085192992,1.03045176272
Cyprus,,,,50.7110166721,43.9414727141,49.058278601,55.2331658084,516.362209239,503.734756647,663.449988041,,
Czech Republic,63.4342683188,33.1373568395,139.415016294,118.23376347,71.7980966732,82.5414351408,74.2787365859,124.101778145,68.8170187282,84.8162764653,153.461534604,
Denmark,,,,58.1608018143,482.282063851,41.5091673438,0.985163438614,0.756873356166,,,,17.6706543443
Dominican Republic,,,,,180.620406,,106.1,,,,,
El Salvador,,,,,,,,,56.5,15.799,34.779,44.935
Estonia,..,..,32.696529025,,..,25.603811927,,,..,,,
Finland,,,,,,,,,,,,630.778974034
France,293.472225894,308.317655276,569.612739117,246.540263703,681.866710394,522.849304821,232.591689705,2088.94072196,1074.68792993,1020.85674467,358.410417451,443.318556048
Germany,572.843684178,669.070285938,2409.80289631,3311.26729868,2583.54341828,2740.67859782,1950.53157506,1049.3413087,463.873342409,554.522969945,786.691457799,..
"Hong Kong, China",15159.6767988,5116.69658887,6324.87440423,7294.01170644,6449.5324089,9852.72364782,11728.5137474,11431.5205471,17587.5185352,16168.2423307,13972.0558882,17560.1574092
India,,,,,,,,,,201.428252622,217.442733759,260.199024048
