Cyprus,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17,_unnamed_18
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,..,1279.41608289,2054.90005886,3155.31355563,3587.18987157,6833.87747415,9253.18930314,10771.8503756,11829.7642413,11999.3693236,12565.0670176,7364.89339244
,Developed economies,,,,,..,984.730903142,1557.27828677,2504.16121826,2730.50456957,5396.50283616,7163.72099596,6102.33721989,10061.888195,9263.8607459,8365.06624123,4259.02469918
,,Europe,,,,..,973.195184362,1540.85929429,2366.03601395,2598.80166055,5229.40177874,6955.77224857,5866.97302608,9693.56987993,8976.0031955,8330.13092978,4197.01287735
,,,European Union,,,..,975.292587776,1539.59629486,2335.33970797,2268.64014779,4536.73839492,6162.19295689,5748.73424944,9323.1338822,8597.04352404,8330.13092978,3599.32446696
,,,,Austria,,..,..,..,,,1.0799406296,1.7959611484,5.9147222307,14.0890723253,6.9883256212,..,..
,,,,Belgium,,..,..,..,0.5584613708,2.4183853915,2.7525316047,9.6275294346,16.6447242069,,,,
,,,,Bulgaria,,..,..,..,99.3053285387,148.814460293,203.055178381,312.143935981,324.697374977,166.043606975,145.859584094,..,..
,,,,Croatia,,..,..,..,,,,,2.2684699379,12.9654039804,6.0797096705,..,..
,,,,Czech Republic,,..,..,..,,1.290592009,2.6866815663,4.1660410245,2.7833986968,7.6928063617,7.9236655705,..,..
,,,,Denmark,,..,..,..,,5.3216275616,10.4174760734,11.8798413666,,,,,
,,,,Estonia,,..,..,..,,,,10.0249962461,9.4357215822,7.0157241538,10.0081374576,..,..
,,,,Finland,,..,..,..,4.0958374196,3.5674133776,3.7929622113,3.5772013037,3.2426594818,1.8871865794,,,
,,,,France,,..,..,..,1.8619919364,4.3943832115,9.6799556434,13.9849433683,15.4339457738,15.5296727676,14.7382852012,16.8207055121,14.5134051087
,,,,Germany,,..,..,..,0.5584613708,14.169378994,21.111522308,33.8141209653,16.3803013307,20.6726163465,22.8356567623,28.4658093282,29.0268102174
,,,,Greece,,..,..,..,1116.39969489,1117.48988112,1692.34598664,2460.67286715,2082.12139515,1757.14357744,1208.13852652,-1618.66943044,-6669.56934769
,,,,Hungary,,..,..,..,382.55966002,345.359590314,334.096754778,398.92418983,39.9417712993,11.452773516,1.3896479247,..,6.5970023221
