Germany,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,617766.085891,695793.246805,830754.288515,925145.744797,927488.54807,1081315.57843,1331750.82659,1326992.2872,1412389.1638,1463065.4297,1480259.60818,1539917.14135
,Developed economies,,,,,561005.208471,634799.834725,757920.900872,840123.406342,826692.604342,952101.999075,1153554.67818,1166235.70377,1229113.09434,1252229.11553,1254066.40556,1322446.96008
,,Europe,,,,285267.341741,349398.361092,451087.821402,524641.767462,519836.068861,640246.753264,801379.945886,822353.753274,856408.150917,867362.114189,863356.351822,1044622.12368
,,,European Union,,,267582.335263,331500.206594,425006.883347,495928.680397,490058.07664,604450.672395,745303.267177,758712.733771,791095.648666,799292.081278,799526.950005,987294.17346
,,,,Austria,,16882.1440217,20626.8706177,25516.3773135,28901.0569903,30103.5894738,39116.2398048,40314.9114827,41160.8999285,42804.560941,40143.4544242,40819.9705767,..
,,,,Belgium,,22303.00787,27241.0184131,35953.8045332,37096.8181323,34232.5401422,43981.2406411,63223.7208193,65485.0211399,74664.8803221,77054.6412236,75932.5463831,..
,,,,Bulgaria,,363.094765971,512.814059285,587.294731019,834.967854419,906.009746683,1305.1477609,1999.11085202,2083.37392456,3496.33727338,3436.70621373,3448.24462999,2963.37344311
,,,,Croatia,,1041.69420723,1397.91644382,1840.19015719,1984.58101776,1885.16090521,2489.13145116,2978.05688781,3099.3144489,3244.23219598,3194.85402684,3117.00612144,3946.32678911
,,,,Cyprus,,255.576412941,184.571113362,143.981934056,147.106897679,215.885134952,541.287315571,484.320670335,471.78607911,734.706225555,452.971775449,381.700625083,..
,,,,Czech Republic,,7277.75868299,10987.2247426,14293.3644536,17181.5408085,18087.1633283,25158.6656675,33000.0500514,31142.0563193,32537.401589,31404.7068979,31181.7063182,..
,,,,Denmark,,2370.69155452,2628.0409664,3488.40440231,4147.597254,4409.71931393,5611.74027164,7828.62408767,7243.79510846,8420.30958504,8788.18692368,8797.22898285,8744.98627824
,,,,Estonia,,57.2843684178,50.3375763715,156.611928272,265.609676365,332.67545386,403.00223495,585.895522168,638.790000919,592.086781771,595.9451677,738.81714211,..
