Spain,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,191650.582979,233947.032285,292463.935052,370932.766699,305426.738849,436068.173228,582056.287189,590692.871438,625799.713321,653236.075795,656726.923609,635672.630357
,Developed economies,,,,,71625.7303757,42969.4136302,179916.793598,240903.89016,200072.433592,292897.019759,418400.063595,431865.183301,426089.274009,422288.616512,436968.287795,417868.64049
,,Europe,,,,71625.7303757,16869.3802815,149488.611534,213238.25869,182642.36327,264757.981354,369214.281719,374439.493087,364597.244131,354683.581176,363068.458978,345222.450918
,,,European Union,,,71625.7303757,8114.8367909,138293.384662,199180.015256,171567.337877,251519.489636,354948.167384,356723.160382,348247.869712,332379.731985,335975.477999,324782.298923
,,,,Austria,,,,,,500.192880981,682.206397726,1154.12585271,2294.91222552,4063.93384763,4151.57317498,2477.81931198,2017.36331011
,,,,Belgium,,,,,,2273.28226804,3940.46629729,5596.92154594,5952.29811313,7069.02637019,8180.21595663,8275.78711198,8192.15748364
,,,,Bulgaria,,,,,,,,547.620940318,711.158367036,675.641607422,686.806762775,688.355025574,688.727042432
,,,,Czech Republic,,,,,,5266.18165259,5947.57546744,7760.90751978,5955.08151183,6193.14130129,5716.26329018,5422.73667703,5532.24614735
,,,,Denmark,,,842.105704716,1026.81852972,1533.72561839,812.813431594,1201.10470024,1483.87609635,1671.43091744,2009.63761696,2047.05828905,1940.85063602,1993.61410175
,,,,Finland,,,,,,533.224486329,937.704546682,1034.88580926,992.281635414,1027.14811533,630.686365817,597.781995893,637.270424319
,,,,France,,,,9962.53943716,14791.0537213,19711.6104913,31690.9894758,33403.4052601,25905.0916712,26834.0644381,27481.6239105,26893.7203131,28896.1895715
,,,,Germany,,,,14084.9695491,15845.3198213,9031.78466225,10732.2392569,17962.5556822,16487.4621806,18995.7574317,18376.757604,17634.5688788,20291.0597425
,,,,Greece,,,,,,448.286072578,675.621393887,1954.94787296,1869.05222491,1809.39415548,1429.73392251,1190.38839009,1203.29322356
,,,,Hungary,,,,,,6981.4657303,10696.6802362,21448.4868291,26503.5223911,20450.7638784,17628.4856445,16815.5299104,16338.135951
