France,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,508846.46908,586329.992177,724441.312206,845442.410374,868541.288917,1044439.55691,1309924.01023,1373113.20361,1530074.69513,1516128.60165,1503072.36617,1568810.69248
,Developed economies,,,,,468858.454732,540900.329501,668199.947964,783793.723439,789749.11316,953342.613799,1180492.62331,1228412.65556,1355835.51224,1326079.54951,1299973.99266,1349568.55611
,,Europe,,,,287201.790797,364781.734171,460910.167903,571248.774109,577032.652922,720247.964905,913517.11021,948760.41339,1058491.25916,1023489.05871,991012.567715,1030906.95594
,,,European Union,,,267919.872388,341687.273612,427105.988385,533797.809742,539846.143501,664411.083352,853932.418865,884516.788069,988032.932126,947312.300676,922726.972798,955734.114438
,,,,Austria,,851.333844486,1420.98783299,2404.75089862,3184.59191457,3120.30700518,4354.00453838,3664.05516251,3738.10444982,3638.95671716,3356.53421808,2981.14657692,3200.8655267
,,,,Belgium,,73077.2281416,83214.3059392,80615.9900779,85672.0605862,78991.5450887,96686.2943681,139396.027098,186906.61419,212511.614841,202065.497848,209485.066448,223180.54676
,,,,Bulgaria,,61.6908582961,122.697842406,142.718934635,144.38269587,175.775328458,288.423168151,597.672316584,583.122026982,675.641607422,713.530761327,652.125813702,694.00464429
,,,,Croatia,,13.2194696349,25.1687881858,39.1529820679,175.711016672,140.384322728,592.650345515,809.654616062,942.180458871,1152.48035381,1102.36494025,1089.46415702,1056.83977201
,,,,Cyprus,,48.4713886612,65.0193694799,34.1009843817,50.3977334641,61.3444099317,129.066075246,234.063789007,531.629151091,775.043037938,789.694157199,901.848595536,1128.08739709
,,,,Czech Republic,,1273.47557483,1754.47427645,2868.27168633,3341.23351858,3376.30194662,4480.43661209,6837.90125747,9965.95903394,11055.1677939,12553.5983196,10219.2255488,11313.8589825
,,,,Denmark,,2051.66168733,1416.79303496,1278.1554146,3533.2897461,6578.00826498,,,,,2371.75487145,1855.45320803,2091.24973612
,,,,Estonia,,22.0324493915,24.120088678,51.7829762834,46.3114307508,152.181324638,206.769120546,108.935348343,96.02725504,165.66905086,192.412789571,130.683942825,133.259446907
