United Kingdom,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,869700.419882,994136.268094,1187045.57055,1247190.2951,1198636.60001,1454903.96996,1835638.9149,1565113.38044,1589507.2675,1637665.27757,1686639.69239,1716935.39987
,Developed economies,,,,,787687.554834,877620.788364,1043630.58121,1076562.64787,1019843.1694,1220236.97352,1558348.07505,1316914.12829,1336062.18875,1351856.83828,1376238.61878,1378924.87778
,,Europe,,,,530401.108097,614423.362088,722712.816651,731463.866393,658760.852271,771328.009674,1034256.16699,850693.548525,866268.26997,932315.654696,925731.575522,903940.894473
,,,European Union,,,478897.405951,554348.316635,633649.1064,673239.866424,584913.750056,617328.590722,825449.613464,748589.213755,773710.676546,844873.147643,824486.811,809664.927712
,,,,Austria,,3521.57107322,4318.01477699,5959.11607337,7922.6049185,6896.20734425,4715.12924401,5166.77318086,3946.26548002,6066.64237419,1650.03584993,1544.55316958,724.301498783
,,,,Belgium,,8956.21967758,16704.7051694,15459.0785947,15119.0032428,23231.8675377,8597.94591539,13797.4280328,16337.5682433,23668.9744524,64385.8391231,58793.5168965,59539.4767987
,,,,Bulgaria,,,,144.560767279,42.490811362,91.2606714719,90.2980621251,92.1564817059,208.465446488,189.48135552,162.81188652,136.056735659,83.6339421253
,,,,Cyprus,,133.436795196,135.391280802,142.776066448,123.609633053,101.592068242,1101.24375766,1368.32341316,529.181518007,806.510385036,876.679388954,994.14182987,2752.0300956
,,,,Czech Republic,,1244.4431552,1753.63944657,1702.60459239,1531.60060955,1417.12325701,1026.64970633,1266.14992257,1473.83612867,825.944370217,834.410918416,677.191479756,2123.9865302
,,,,Denmark,,3781.19266388,5101.35004449,5391.58120924,10151.4411145,8764.46826023,15276.0765099,12461.1590481,15757.3637139,11328.3938621,12430.0613362,11057.7019708,12764.433167
,,,,Estonia,,42.0615984858,46.7422278958,37.4787174426,150.649240284,12.0532962321,-1.96300135054,14.0238124335,36.4450081272,53.4434592494,97.0609323485,132.964537121,102.569929022
,,,,Finland,,928.255966583,934.844557915,1049.40408839,1342.32335894,4244.48217317,2526.38273815,4665.92273681,887.800397979,641.321510992,1862.94370153,2370.17017915,818.981433265
