Greece,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,7020.34035728,9173.56186593,12423.3169901,13722.6217718,13401.0520566,22412.9034467,33997.0293036,37459.2440846,42877.0951733,42870.3177884,48153.2935588,45023.0103441
,Developed economies,,,,,5976.8835541,7567.61490076,10138.4247366,11073.866732,10818.4877895,15190.1814959,22407.6920133,24789.9090664,29039.4076251,27313.0222036,31998.0280958,30023.6700443
,,Europe,,,,5022.09414025,6470.73813764,9025.55805629,9960.86684102,9581.28901121,13780.2794939,20742.9096337,23434.5469879,27097.651101,24493.8407864,29016.7003728,27437.539582
,,,European Union,,,5022.09414025,6470.73813764,9025.55805629,9960.86684102,9581.28901121,13780.2794939,20742.9096337,23434.5469879,26505.8380333,24493.8407864,29016.7003728,27437.539582
,,,,Austria,,6.23958966766,4.97083566669,254.077593632,284.679089027,285.286897188,312.142351979,353.524647359,338.169024669,538.309167261,440.251152138,401.911349706,407.496833439
,,,,Bulgaria,,488.838361138,466.954429812,623.34073451,774.667647379,851.177281806,1217.81743999,1700.27469373,1882.5377916,2168.60787576,2809.72112171,2621.50695407,2578.08211948
,,,,Croatia,,,,,,,,,,55.2758389697,,,
,,,,Cyprus,,2888.29548159,2979.51260642,3914.96982694,4296.92437616,4189.97655936,6895.43409004,10405.1511699,10683.505301,12198.629989,11873.9936744,12010.5401129,11670.572092
,,,,Czech Republic,,,,,,,,,,7.77924238823,,,
,,,,France,,71.5261437044,71.3430275116,81.008782898,94.5434237768,93.656398163,65.0334979145,61.3865408905,57.9086098872,58.7188740267,46.0721735029,20.3918706824,20.5034832172
,,,,Germany,,135.543628656,280.967572114,296.198624341,374.264465512,393.913690775,442.169837785,558.249497278,570.88898971,568.043160389,529.963615276,492.380867353,548.712265147
,,,,Hungary,,,,,,,,,,203.657684523,,,
,,,,Ireland,,,,,,,,,,16.019476918,,,
,,,,Italy,,45.6600481189,67.9032931262,93.7019270845,117.944317315,111.635029074,117.871568719,128.190407212,139.156017847,166.648659161,132.698014808,40.6543513224,269.936141018
,,,,Luxembourg,,349.505151187,978.761737569,1199.1295408,1268.41560423,733.820706806,806.952710453,821.195874589,1414.91289354,172.252594882,201.245071093,130.463979753,124.551403842
