Indonesia,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,
,,,,,,,,,,,,
Reporting economy,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,
Argentina,,,,1.677,0.598,0.664,0.806,1.299,1.023,1.942,2.776,2.6
Australia,..,..,-4.50001125003,..,..,..,..,..,..,..,..,-10.4050043909
Bangladesh,,,,,23.94,46.69,23.47,27.85,30.1,35.6,31.37,29.13
Belgium,,,,,,,,,28.8120088453,209.78338863,323.475106003,496.094574625
Brazil,,,,,0.859271,,,,,41.0,11.0,
Bulgaria,,,,,,,0.588839720772,0.755692746185,1.25044118389,,0.637892909038,0.75073886426
Cambodia,6.178,6.178,6.178,6.178,6.178,6.178,6.178,6.178,9.092,9.354,9.354,9.354
Canada,..,..,..,..,..,,10.1204331545,,,,,
China,997.0,1119.0,1269.0,1373.52,1460.0,1561.0,1701.0,1868.25,1979.97,2056.93,2103.0,2103.0
Czech Republic,,1.21193722836,2.0624853824,..,,,,,,1.0077862514,1.17617853561,1.31940046443
Denmark,,,,19.2040383349,17.0775288183,22.4326138411,19.7032687723,18.9218339041,19.2674514942,35.6296652593,34.8092453356,35.3413086887
Estonia,,..,..,2.79074715913,..,1.9188701187,2.48637572096,1.7507577803,1.35272381529,1.31215008218,,
France,4.40648987829,5.2434975387,12.6299942155,47.6735316552,69.6023112686,85.6050499077,75.0770643985,98.8106537369,128.213439362,125.602793192,108.687635617,127.98184505
Germany,6.16908582961,12.5843940929,16.4189924801,12.2589081399,10.6173017189,10.5360061425,10.3046951135,,,,,11.8746041799
Hungary,,,,,,,,2.25336597307,0.797048971128,,2.6517284361,1.40412800435
India,,,,,,,,,,28.8774827048,35.2234322193,16.7405111241
Italy,,,,,,,6.47723692849,5.95647321118,6.25220591943,9.09952150681,10.4417764218,9.85592146928
Japan,3.54065133898,1.29658882402,6.94302521008,7.81790242028,5.96753411884,8.04782681799,9.13928947368,12.0319559229,12.1911796654,60.4616329036,61.9462171899,54.6839976892
"Korea, Republic of",3.58,3.786,3.786,4.052,4.46,4.561,,,,,,
Netherlands,178.022191083,229.665192195,266.492877946,298.300098071,314.979950995,327.933191185,329.750243632,119.825313898,147.517485288,142.305292287,160.831822705,108.058898037
New Zealand,,,,,,,,-0.578499488028,,,,..
Norway,-1.22064894136,-3.30189356418,11.6766467066,2.48344370861,,4.15335463259,,,,4.77815699659,5.84307178631,2.51346499102
Pakistan,,,6.10495419821,27.8885399495,28.4506576143,,,,,,,
Philippines,38.57,38.56,38.57,38.57,38.56,38.55,39.65,40.03,40.03,39.95,40.0,40.4
Poland,,,9.20578536951,10.6397635244,8.61619599546,6.84840399262,14.7433264887,,-3.29789846683,1.72058972369,4.9160180254,4.00051619564
Portugal,,,0.501410770354,,,,,,,,,
Romania,,,,3.58215647815,,,,,,,,
Singapore,870.610480821,1014.85747193,977.716368768,667.890806708,410.828025478,661.841418884,1371.70413544,2056.90661479,2774.69003848,1151.68932039,1208.65687707,1919.98365345
Slovakia,,,,,,,,4.22623307394,,1.33619992758,,1.31940046443
South Africa,,,,,,,,,,,2.2105146815,2.58788516848
Thailand,,,,,,58.78,76.24,75.46,90.4,101.1,226.91,354.54
Turkey,,,,,,,,,,,11.0,14.0
United Republic of Tanzania,1.48,,,,0.72,,,,,,,
United States,57.0,40.0,58.0,49.0,65.0,..,106.0,88.0,248.0,138.0,169.0,136.0
Viet Nam,157.068238,159.32578,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source:  UNCTAD FDI/TNC database.,,,,,,,,,,,,
,,,,,,,,,,,,
Note:  Data are based on information reported by the economies listed above.,,,,,,,,,,,,
