Ireland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,40819.0783386,58882.3799606,74490.4428781,106043.641709,104152.190759,120728.143378,150059.914442,168925.858609,295334.615468,340113.657182,330811.521407,380021.638168
,Developed economies,,,,,33739.6117001,42083.2625461,54499.6880391,81967.1461262,87910.0785326,107522.576686,130545.766095,147012.160669,217425.50295,235183.21305,270720.197915,295281.823939
,,Europe,,,,22584.1419242,34380.5646618,44750.5955042,65049.8528931,78645.8929328,91897.6795763,108451.027673,120220.556513,179667.365358,202947.389797,243829.065403,261902.31159
,,,European Union,,,22584.1419242,34380.5646618,44544.7265985,64680.723548,71035.6470007,83708.5688021,100572.352209,113735.237549,172121.500241,194482.563256,227551.798069,238824.678066
,,,,France,,329.605442896,1000.45933038,2212.77498655,2319.65784025,2524.55840873,2302.11734213,2895.6193269,4127.78026737,2653.58601465,..,2560.62893912,3648.14228415
,,,,Germany,,199.173342499,2550.43720282,3569.23636529,3901.0569903,3044.80619295,4274.98449232,5209.75942953,4986.45876534,5523.26209564,5394.23910763,5408.50377237,5420.09710787
,,,,Italy,,,,861.365605495,1046.09349461,805.735230449,1529.03789143,391.578414314,512.145360214,409.130525603,1306.80352917,809.981665431,844.416297235
,,,,Luxembourg,,,,,,,11363.0826247,6618.55846148,18989.737609,51341.5591619,44717.2667763,62798.163179,70300.2955457
,,,,Netherlands,,2512.5805286,6288.00224841,6188.69716558,8650.70284407,10939.3598711,8702.7410737,10166.3177791,9704.31955644,30651.6556101,41693.4463402,44511.4684864,52240.3419886
,,,,United Kingdom,,8209.29064326,14573.7770591,18626.715469,24066.9608805,26674.2010186,33063.3042759,42692.3518553,46748.5728123,45126.8088539,55420.2281962,69180.9739706,62065.9172472
,,,Other developed Europe,,,,,205.868905712,326.904217064,454.184573532,460.950268734,444.573989183,431.426798006,,,5719.03987413,7838.55815917
,,,,Switzerland,,,,205.868905712,326.904217064,454.184573532,460.950268734,444.573989183,431.426798006,,,5719.03987413,7838.55815917
,,North America,,,,11155.4697759,7702.69788435,9749.09253492,16917.2932331,9264.18559987,15624.8971093,22094.7384227,26791.6041562,37758.1375917,32235.8232528,26891.1325122,33379.5123496
,,,Canada,,,84.6046056632,87.0420591425,356.165836876,220.660346518,300.823548703,323.982188882,615.337508207,791.876929243,1587.54168738,1970.89489318,2061.18337545,2402.62824573
,,,United States,,,11070.8651702,7615.65582521,9392.92669804,16696.6328866,8963.36205117,15300.9149204,21479.4009145,25999.7272269,36170.5959044,30264.9283596,24829.9491368,30976.8841039
,Developing economies,,,,,4085.69741515,2893.36194186,2524.73583841,6136.26457086,..,4818.90582942,17280.9737054,20856.0064352,71821.1350491,90365.8649222,52876.5347276,73243.8779818
,,Africa,,,,,,,,,..,232.591689705,438.385294748,453.789139313,..,283.364192858,288.94870171
,,Asia,,,,,,,,,..,7858.06607371,7406.62393222,7913.21822936,2558.82286131,3331.79359183,3760.29132362
,,Latin America and the Caribbean,,,,4085.69741515,2893.36194186,2524.73583841,6136.26457086,..,4286.83749923,8308.5284601,11690.2745266,61556.856898,81697.935982,45479.3060036,63950.0211104
,,,South America,,,,,..,..,..,219.939128225,226.703292497,278.339869681,234.817872089,..,137.153444945,839.138695377
,,,Central America,,,,,..,5922.41473248,..,4065.58137023,8080.3530683,11413.3263563,420.655329141,566.548769293,10.3512033921,126.662444585
,,,Caribbean,,,,,,,,1.31700076781,1.47209930193,-1.39169934841,60901.3836967,81131.3872027,45331.8013552,62984.2199704
,,Oceania,,,,,,,,,532.068310196,881.787481856,1320.72268164,1897.27078246,6109.10606889,3782.07093938,5244.61684611
,Unspecified,,,,,2993.76922331,13905.7554726,17466.0190006,17940.2310123,16242.112206,8386.66086308,2233.17464103,1057.69150479,6087.97746901,14564.5792106,7214.78876429,11495.9362466
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the Central Statistics Office of the Republic of Ireland.",,,,,,,,,,,,,,,,,
