Italy,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,162282.209238,170461.910185,210542.003572,248351.857906,243783.864769,305819.431293,417863.601167,442385.442268,486377.27885,489651.919919,519685.595136,535032.694744
,Developed economies,,,,,136757.175969,147511.121458,183420.353993,217996.077149,210208.417633,257569.791163,378590.729896,390391.234521,420786.611059,412549.72334,427761.151157,417319.110196
,,Europe,,,,116122.465167,128249.6576,162606.123526,196391.794704,188178.696266,228896.050446,357337.605366,351229.942133,388316.917691,380416.012485,391660.25539,377906.863521
,,,European Union,,,107014.250588,118740.050463,151380.584668,185465.021249,178003.782119,217289.32268,345678.623057,344769.395418,377611.009069,368818.010906,378609.225251,363474.535571
,,,,Austria,,,,,,,,33455.0759456,32565.2776579,34469.8086162,32627.8910356,33110.7048264,33580.2723243
,,,,Belgium,,3138.30209132,3385.20201099,4611.21088807,5393.91958156,4940.58439988,6251.8026448,9339.39543826,7435.44602572,13540.3476169,19039.5528541,18490.2511073,14745.1841883
,,,,Bulgaria,,,,,,,,480.154629311,407.072059409,637.869063826,810.124654091,619.364254966,1015.18629935
,,,,Croatia,,,,,,,,611.89279584,957.391732749,1127.81727424,1154.66380542,1084.41794536,1063.56871438
,,,,Cyprus,,,,,,,,309.965229014,300.42613834,239.586259553,225.350117786,222.926104053,82.4625290268
,,,,Czech Republic,,,,,,,,1299.36316984,1436.16414259,1605.5347869,1348.97399889,1348.25718082,1986.6344733
,,,,Denmark,,,,,,,,352.950528631,3337.10019957,2275.45721057,2191.31443323,1953.9319693,1955.1008022
,,,,Estonia,,,,,,,,101.663177791,66.0500510754,126.196598742,104.277042348,86.6654504003,63.687460418
,,,,Finland,,,,,,,,698.069488975,709.864086642,912.73562821,938.132607153,868.595354639,1202.01340511
,,,,France,,15472.9485586,16206.6021926,21112.2983306,24737.1145254,23847.6393609,29562.7162351,-30237.0521506,27081.7873873,35407.6971282,37937.8292898,34301.8566177,33341.5531982
,,,,Germany,,9496.8669857,9315.59772726,13184.4509615,16012.8582325,14992.8097273,18119.2965635,51816.7030275,51099.5816552,48823.3607768,43384.5944166,43939.2410239,46002.717965
,,,,Greece,,,,,,,,920.444809525,2208.77995285,2178.47598879,2738.94261155,2310.59562118,2374.36668778
