Luxembourg,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,8810.24773286,18140.194345,21354.7942195,27883.0227743,32691.2618427,42223.044616,78786.6074294,115491.562103,125070.04917,125107.062999,107251.406129,116278.762892
,Developed economies,,,,,7348.26252104,15948.097764,18907.2276405,25981.2574916,28244.9718229,33361.3415497,65977.4297735,101063.814992,105222.896913,105940.611268,90130.5157458,97772.8519969
,,Europe,,,,7033.11036495,13276.9552478,14473.847071,21276.8333878,23440.8787351,28134.1655022,60633.1204678,93743.4764093,91626.5099293,87669.4134483,77197.9809978,83748.9444605
,,,European Union,,,6213.59137738,12178.5473834,13358.2396819,19870.464204,21796.6126089,25890.5229942,57466.6348693,91394.2879092,89321.5492217,86154.1627304,75491.3263385,81928.1718196
,,,,Belgium,,1081.61700553,2666.00388858,3852.90603537,7307.80756238,7890.0708174,9155.65763775,19203.2409738,50572.9626217,50654.3927509,47221.3054406,39351.3935955,..
,,,,France,,969.692162617,3386.35558044,3358.82066166,3126.70262613,3776.57422143,3479.51602856,3220.80606269,3289.97725963,4190.70668655,3593.04160526,3738.07832497,..
,,,,Germany,,931.620090069,1078.69231366,1476.1937239,2292.27961207,3670.99105433,3513.09954814,13944.0190077,16733.7929652,10277.2435551,11216.0621921,9083.18097656,..
,,,,Ireland,,1101.44620998,1222.88849598,560.013943514,620.981802332,461.144804659,517.18620152,316.501349915,,,,,
,,,,Italy,,,,,,,,,835.019609044,1215.86677327,1543.31091635,1381.88565284,..
,,,,Netherlands,,745.401827812,401.966521317,128.95224094,341.478696742,447.814192501,2536.80687896,3361.09712617,2908.65163817,3054.0729376,2592.2278595,2727.54209382,..
,,,,Spain,,709.26861081,2749.06088959,3319.41507971,4678.13555628,3250.19199621,3053.07117994,3955.0891945,4749.86987611,6475.49898798,6916.17082514,6597.59826203,..
,,,,United Kingdom,,292.150278931,148.076370493,28.5437869269,-133.349678544,291.857827252,1254.57493142,1909.46000453,,,,,
,,,Other developed Europe,,,819.518987565,1098.40786441,1115.60738905,1406.36918383,1644.26612621,2243.64250804,3166.48559845,2349.18850011,2304.96070762,1515.25071787,1706.65465927,1820.77264091
