Malta,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,..,..,..,1121.12618503,991.580479737,1150.38831768,1197.91344645,970.399946559,1536.85272021,1718.59896765,1403.17290262,1462.25195271
,Developed economies,,,,,..,..,..,454.02092187,441.537007785,392.599245885,444.529826204,701.611309506,865.466646498,978.465801967,699.388114489,765.229839561
,,Europe,,,,..,..,..,454.02092187,441.537007785,392.599245885,444.529826204,701.611309506,865.466646498,978.465801967,699.388114489,765.229839561
,,,European Union,,,..,..,..,454.02092187,441.537007785,392.599245885,444.529826204,701.611309506,865.466646498,978.465801967,699.388114489,765.229839561
,Unspecified,,,,,..,..,..,667.105263158,550.043471952,757.789071791,753.383620245,268.788637053,671.386073716,740.133165685,703.78478813,697.022113152
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source:  UNCTAD FDI/TNC database, based on data from the National Statistical Office.",,,,,,,,,,,,,,,,,
