Netherlands,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,332154.156642,396530.063069,554817.963893,629512.640296,643913.39585,800465.296381,942084.816483,889887.216695,952641.124831,955866.652592,978897.648595,975552.301034
,Developed economies,,,,,291196.714521,345042.063337,493985.596755,558630.271331,568854.971198,695859.744686,817752.634322,776914.908718,826544.935929,791683.758891,806641.849657,790647.297868
,,Europe,,,,192743.392468,243169.295756,376188.166706,433491.337038,438060.431322,556153.620238,673252.838944,618581.27385,643152.033768,639188.739576,649381.192122,632740.394765
,,,European Union,,,172264.671408,211463.963539,326953.923255,387320.202681,393269.57447,497691.956154,606522.577587,554117.620862,560850.098321,540183.139562,552607.403439,544002.929069
,,,,Austria,,588.70704774,1264.73160633,3417.6764347,5889.72431078,8049.09440315,7418.66532508,10568.2008886,7393.68112828,7632.01302303,8640.40321169,5915.19517841,6300.79691788
,,,,Belgium,,35567.4237016,45118.1989215,46838.333548,49237.2234935,46773.9328727,79213.6451816,110391.254552,89197.4904877,86898.6033379,91937.236017,95203.7699083,83920.0707199
,,,,Bulgaria,,123.381716592,69.2141675109,359.954835141,344.611528822,222.963336098,262.083152794,281.170966669,208.198222522,210.183604526,194.016229484,307.948300915,351.224403631
,,,,Croatia,,31.7267271237,53.4836748948,241.232889515,,42.4692068758,35.5590207309,45.6350783598,53.8587647833,65.4032600788,121.326953424,107.652515278,115.579480684
,,,,Cyprus,,123.381716592,139.477034529,191.975912075,197.504631143,943.760152795,2485.18044886,1575.14625307,1427.74436153,3056.08977822,3277.83204234,3807.56077774,4764.22313701
,,,,Czech Republic,,2385.67362011,3361.08192231,3197.91453536,3269.04217064,3015.31368818,5262.73506817,6406.576162,5693.99871407,5762.11364897,5773.45264708,6654.01232052,7030.55731476
,,,,Denmark,,2492.31067516,3517.33814896,4618.78888459,2507.62776506,-2533.99601025,4373.7595499,3915.78414314,4585.51018306,4737.99079456,4729.07878368,4319.68656556,4012.03293224
,,,,Estonia,,36.133217002,41.9479803096,32.8379849602,24.5178162798,31.8519051568,38.1930222665,128.072639268,184.539333599,239.139673416,284.076104603,232.77268628,306.100907748
