Poland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,1156.66717644,1443.03095468,2146.20905758,3225.4852346,6282.31193245,14325.6758519,19382.101039,23991.2,29557.5,44443.6422523,52844.9991221,57363.788876
,Developed economies,,,,,682.585594652,999.324889907,1410.75508122,2368.43864198,5148.48724353,12825.6119773,16822.8564026,21061.8,26187.3,40194.0217941,48542.7225376,52694.8638534
,,Europe,,,,564.72781789,904.541633675,1340.26146448,2294.23311176,5011.78917299,12633.5932654,16589.970293,20629.4,25727.2,38084.5113188,46323.4915433,50502.0970448
,,,European Union,,,482.121355167,805.501955203,1229.03540015,1885.55706664,3038.83953161,9699.84235501,12194.2817775,14555.7,17884.2,33487.8040552,39833.9088196,44377.8229449
,,,,Austria,,10.7785972751,14.4303095468,32.7877287133,113.763625377,137.526543688,183.72160711,183.570782951,323.9,346.8,160.318477784,249.195294668,434.475416183
,,,,Belgium,,,,5.54869255149,49.515822556,2.36706615642,3.55590207309,44.7518187787,20.6,1182.0,2281.23207719,2741.47012349,3011.38856627
,,,,Bulgaria,,1.06018989591,,2.14381303126,3.27377339213,10.5334443961,17.1210099815,43.8685591975,85.1,90.7,46.9619783408,47.1118394101,56.0394889663
,,,,Croatia,,1.2368882119,,,1.50047947139,2.60377277206,4.60950268734,11.6295844853,72.1,60.8,42.407476131,43.3077778428,42.7797135114
,,,,Cyprus,,90.0277919946,132.571980512,90.0401473127,93.3025416758,153.267533628,350.585604391,388.78142564,766.9,825.9,1909.07864107,4297.06794639,5869.62833914
,,,,Czech Republic,,34.1027749852,42.8756679339,86.004734548,95.4850572706,712.960326314,948.899053208,1295.74180556,1415.8,1520.3,2415.43807564,2461.60824018,2606.36856369
,,,,Denmark,,,3.32208565105,5.29647925369,6.00191788558,10.6517977039,12.7749074478,16.781932042,19.2,12.0,106.372929388,144.993269737,139.98580462
,,,,Estonia,,,,0.882746542282,1.63688669607,2.2487128486,2.89740168919,6.3300269983,6.2,5.3,18.6903275868,18.2009714988,16.4214737385
,,,,Finland,,,,0.50442659559,0.818443348033,6.27272531452,-1.31700076781,5.15234755676,17.0,20.6,87.9862352822,216.099959033,195.057426765
