Portugal,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,22264.9252219,21325.1398441,34443.153659,43940.5402092,41965.4454017,53983.7798185,67707.8015375,63005.693442,68471.4249699,66732.1627331,72229.7462532,76048.4998417
,Developed economies,,,,,11625.9603945,15786.3568389,27210.2350947,30446.5484363,29051.6531729,37673.9843619,46691.7762645,39615.9355142,46044.7810647,46959.5438748,55204.9447699,58366.0584231
,,Europe,,,,11315.2332355,15332.1587899,21855.0430304,29907.1033562,28363.5340515,36380.6316599,44773.8193028,38640.7453385,44583.3898769,40051.6441272,53749.4141866,56926.9078531
,,,European Union,,,11212.6519137,15168.2827126,21665.4125082,29488.9628964,27989.8239062,35905.3300338,43837.508207,38347.7453079,44037.5463693,39835.4202549,53259.3545766,56379.029449
,,,,Austria,,220.887643321,263.922010315,323.673913757,347.759344012,316.467552936,31.3433012731,-75.708594999,14.7923723742,17.7640440536,17.9718890259,,
,,,,Belgium,,0.499695952198,4.51255398181,4.87265176833,11.1705895173,21.6026698975,51.2392318725,43.4239852083,9.52339864114,52.9953684696,74.3595259697,,
,,,,Bulgaria,,2.75934396179,2.25575264115,3.53387238149,4.41048272856,4.78014517391,7.67416347404,4.97422354122,21.9345734302,16.6403757086,9.21977950029,,
,,,,Croatia,,,,,,,,,,,-0.841805954374,,
,,,,Cyprus,,12.8149538641,19.2688047552,18.6772354458,13.5215756783,12.859911782,4.08797038329,6.27850352273,5.97456530271,5.32445923461,5.31807571176,,
,,,,Czech Republic,,1.0681331465,1.5992667493,146.568556872,159.590552468,14.7604087897,14.344772363,21.9931635708,9.72519504666,21.9950875525,39.150657878,,
,,,,Denmark,,1.64714591651,3.96618153827,3174.0097453,6707.76942356,5508.64071405,5975.54724674,5147.78699312,3332.01214675,5671.36734591,3740.61152526,3310.39118492,30.8489022588
,,,,Estonia,,,,,,,1.31700076781,,1.39169934841,1.44060044226,1.45645792106,,
,,,,Finland,,0.528778785395,0.629219704644,1.26299942155,,1.17970019099,1.31700076781,-1.47209930193,1.39169934841,1.44060044226,2.79265784864,,
,,,,France,,454.374322502,525.347067102,525.172841471,603.929661109,570.297744531,598.954828191,701.262472361,421.846339692,662.586886214,539.731236747,572.942989453,879.483322778
