Singapore,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,71350.0798595,84798.2147999,90380.7031985,110127.983841,121090.133397,160400.821596,220275.67305,217052.181768,265250.819439,333486.213592,343520.335204,375714.834491
,Developed economies,,,,,18314.147369,22440.0230348,22659.4543744,29692.6796426,30356.808076,41454.029734,64344.9902859,59311.8399111,76617.5003563,103645.281553,99306.1428462,110381.691868
,,Europe,,,,5875.55952998,6854.18946156,6371.82502352,7247.64353042,7861.37483476,18670.5138237,31960.6577852,25481.3785436,35949.9786233,47793.8640777,46420.696548,54942.868819
,,,European Union,,,5586.75660724,6530.95306651,6005.52681091,6875.99461378,7482.3338541,17997.1961398,28602.3452678,20974.1523068,31176.0723956,42699.6504854,41776.2743138,49280.2615447
,,,,France,,88.4386817936,143.334293118,241.886171214,145.672664953,158.334334816,146.061554512,,,,,,
,,,,Germany,,84.4240572663,65.1885977541,63.0291627469,240.788346187,365.220526379,390.519040167,413.40549542,412.242912729,711.201368106,1332.50485437,1290.76651034,1289.08868002
,,,,Netherlands,,698.536445165,694.212496401,434.677798683,607.295874648,1521.81228218,1994.0010433,2707.74354704,2999.86103391,3543.10959099,5826.7184466,5703.54424541,5039.14997957
,,,,United Kingdom,,3662.36660724,3977.82896631,4429.79774224,4420.36969029,4338.36077395,13169.5357329,21798.4318623,13844.4969427,23152.6293288,30681.4757282,28597.755055,35728.6473233
,,,Other developed Europe,,,288.802922744,323.236395048,366.298212606,371.648916636,379.040980651,673.317683881,3358.31251735,4507.2262368,4773.90622773,5094.21359223,4644.42223418,5662.60727421
,,,,Norway,,46.8548784441,17.4488914483,12.4647224835,5.63104419146,3.54524696551,285.993740219,300.999167361,1204.9749861,1397.60581445,1650.87378641,2063.58114861,2688.02615447
,,,,Switzerland,,241.9480443,305.787503599,353.833490122,366.017872445,375.495733686,387.323943662,3057.31334999,3302.25125069,3376.30041328,3443.33980583,2580.84108557,2974.58111974
,,North America,,,,3442.76083198,4188.82810251,4800.85841957,5992.59395275,6047.35007812,5721.11371935,9718.15154038,8329.62757087,10164.38649,11399.9223301,6478.28092566,8164.52799346
