Sweden,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,119896.883076,142889.518434,180548.600699,207722.311251,202301.970265,256395.314978,324310.839476,315212.659729,345816.061266,365292.039893,368628.13421,388500.269045
,Developed economies,,,,,111928.755586,130651.558074,169142.602813,191999.516222,182825.693607,230755.783463,293438.942248,287173.840678,313075.247664,325349.866621,325798.161941,342993.312322
,,Europe,,,,83618.4673272,103229.461756,136732.877103,156774.408127,148899.276236,196521.181749,236840.464014,236473.510358,254760.064639,254407.797676,255818.342843,268583.288493
,,,European Union,,,71338.1767249,89065.1558074,118650.197528,136969.73362,130428.226779,176854.495659,211425.720344,210995.31406,223143.399143,221172.332603,222570.669454,232146.975171
,,,,Austria,,937.426763534,1019.83002833,695.487675958,1058.26505004,1005.22718134,1019.75409358,1559.1867282,1024.24909738,562.074053257,..,-145.186346676,1844.87662388
,,,,Belgium,,..,1473.0878187,1808.26795749,2570.07226438,2387.41455569,7138.27865509,9666.95771486,11522.8023455,21077.7769971,20716.2764356,19890.5294946,21216.0811746
,,,,Czech Republic,,468.713381767,566.57223796,695.487675958,755.903607172,879.573783675,874.074937358,1247.34938256,1408.3425089,1264.66661983,1490.37959968,1451.86346676,1691.13690522
,,,,Denmark,,7780.64213733,9745.04249292,15022.5338007,16781.0600792,16334.9416968,17627.1779034,26038.418361,23557.7292398,24169.18429,25783.5670745,26859.4741351,25828.2727343
,,,,Estonia,,656.198734474,1019.83002833,1390.97535192,2116.53010008,2638.72135103,3350.62059321,5301.23487589,5889.43230994,5058.66647931,4769.21471899,4791.14944031,5227.15043431
,,,,Finland,,15467.5415983,20056.6572238,28793.1897847,30084.9635654,32167.269803,43995.1051804,40850.6922789,44426.8045989,45527.9983138,42624.856551,42394.4132294,38127.4502268
,,,,France,,3562.22170143,5099.15014164,6398.48661882,6198.40957881,5780.05629272,6409.88287396,8263.68965947,8834.14846491,8290.59228553,6259.59431867,7404.50368047,7379.5064955
,,,,Germany,,9280.52495899,9065.15580737,10988.7052801,13001.5420434,11308.8057901,13402.4823728,21984.5328677,14723.5807748,16440.6660578,18182.6311161,17422.3616011,21523.5606119
