Turkey,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,4581,5847.0,6138.0,7060.0,8315.0,8866.0,12210.0,17846.0,19923.0,20761.0,23897.0,27190.0
,Developed economies,,,,,3020,4088.0,4299.0,4596.0,4936.0,5247.0,7712.0,10923.0,12159.0,12648.0,14554.0,16808.0
,,Europe,,,,2880,3944.0,4171.0,4467.0,4801.0,5105.0,7566.0,10185.0,11298.0,11610.0,12934.0,15025.0
,,,European Union,,,2815,3880.0,4090.0,4382.0,4715.0,5032.0,7478.0,9901.0,10950.0,11228.0,12533.0,14608.0
,,,,Austria,,23,46.0,56.0,78.0,85.0,74.0,104.0,268.0,301.0,366.0,546.0,167.0
,,,,Belgium,,49,52.0,52.0,52.0,53.0,56.0,56.0,219.0,224.0,208.0,202.0,206.0
,,,,Bulgaria,,30,39.0,41.0,46.0,51.0,52.0,54.0,40.0,92.0,76.0,75.0,57.0
,,,,Croatia,,0,,,,,,,,,10.0,9.0,22.0
,,,,Czech Republic,,0,84.0,84.0,84.0,84.0,84.0,84.0,,,,,
,,,,Denmark,,4,4.0,4.0,4.0,4.0,4.0,4.0,,,,,
,,,,Estonia,,0,,,,,,,,,,,2.0
,,,,Finland,,0,,,,,,,3.0,,1.0,1.0,1.0
,,,,France,,100,99.0,101.0,102.0,102.0,104.0,84.0,121.0,136.0,138.0,28.0,18.0
,,,,Germany,,324,343.0,391.0,379.0,375.0,375.0,460.0,932.0,661.0,651.0,935.0,759.0
,,,,Greece,,0,,1.0,1.0,1.0,2.0,2.0,25.0,26.0,23.0,20.0,47.0
,,,,Hungary,,43,43.0,44.0,44.0,41.0,70.0,70.0,30.0,29.0,21.0,20.0,27.0
,,,,Ireland,,32,51.0,52.0,42.0,43.0,35.0,51.0,46.0,278.0,241.0,732.0,759.0
,,,,Italy,,2,2.0,2.0,2.0,107.0,111.0,111.0,9.0,10.0,11.0,10.0,16.0
,,,,Latvia,,0,,,2.0,2.0,1.0,1.0,,1.0,1.0,3.0,4.0
,,,,Lithuania,,1,1.0,2.0,1.0,1.0,1.0,1.0,,,,,
,,,,Luxembourg,,145,146.0,159.0,159.0,159.0,160.0,170.0,330.0,1340.0,748.0,809.0,860.0
