United States,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
World,,,,,,1460352.0,1616548.0,1769613.0,2160844.00006,2241656.00004,2477268.00002,2993980.00013,3232493.00024,3565020.00006,3741910.00006,4084659.00007,4453307.00005
,Developed economies,,,,,1093210.00002,1220424.0,1354057.0,1560659.00003,1705580.0,1878122.00001,2294544.00003,2464423.00001,2730743.00005,2823761.00005,3107920.00006,3387207.00005
,,Europe,,,,762248.00002,849284.0,964476.0,1163076.00002,1190509.0,1372347.00001,1647625.00003,1804027.00001,1955436.00005,2007899.00005,2215301.00006,2444757.00005
,,,European Union,,,693600.00001,767923.0,863024.0,1030733.00002,1079384.0,1257767.0,1525334.00002,1626439.0,1773824.00004,1834531.00004,2036594.00004,2239730.00004
,,,,Austria,,3964.0,4011.0,6366.0,9264.0,11236.0,14897.0,14646.0,13546.0,10954.0,11485.0,13763.0,15591.0
,,,,Belgium,,22589.0,25727.0,27415.0,41840.0,49306.0,51862.0,62491.0,65279.0,46610.0,43975.0,50941.0,53769.0
,,,,Bulgaria,,107.0,142.0,186.0,386.0,342.0,232.0,662.0,527.0,338.0,360.0,..,..
,,,,Croatia,,50.0,78.0,38.0,62.0,61.0,61.0,83.0,88.0,76.0,-28.0,-37.0,150.0
,,,,Cyprus,,292.0,238.0,257.0,12.0,248.0,597.0,..,1250.0,1555.0,1653.0,1584.0,1467.0
,,,,Czech Republic,,1179.0,1264.0,1668.0,2444.0,2729.0,3615.0,4066.0,5053.0,5372.0,5268.0,5804.0,6389.0
,,,,Denmark,,5160.0,6184.0,5597.0,6815.0,6914.0,5849.0,8950.0,10481.0,13053.0,11802.0,15019.0,15092.0
,,,,Estonia,,37.0,33.0,15.0,27.0,28.0,30.0,32.0,12.0,..,..,60.0,58.0
,,,,Finland,,1686.0,1722.0,1677.0,2208.0,1950.0,2107.0,2202.0,2012.0,1659.0,1597.0,2184.0,2013.0
,,,,France,,40125.0,43348.0,51229.0,63359.0,60526.0,63008.0,74179.0,84409.0,90879.0,78320.0,79621.0,82596.0
,,,,Germany,,63396.0,61073.0,72262.0,79467.0,100473.0,93620.0,100601.0,107833.0,110149.0,103319.0,111088.0,121184.0
