British Virgin Islands,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,
,,,,,,,,,,,,
Reporting economy,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,
Argentina,,,,892.866,403.006,396.658,432.079,414.515,462.975,533.927,567.366,593.495
Australia,..,..,..,..,..,..,..,..,..,..,..,19958.8794226
Austria,,,,,33.3855154051,,,,,,,
Bangladesh,,,,,,,,,,77.65,83.63,223.67
Belgium,,,,,,,,,3226.94498186,1746.41329862,3374.49229994,3481.89781924
Botswana,,,,,,,,,1.15372117314,6.11192044961,8.35975724156,4.74114049417
Brazil,,,,,4811.482887,,,,,6329.0,6446.0,
Bulgaria,27.3405070989,36.7094320829,85.9079576542,176.46017217,295.632867863,355.458507232,570.732899358,650.583261197,898.20717275,891.818581463,1157.55825463,1112.97102597
Canada,55.2555569509,46.8473031147,72.732900031,108.009305417,132.24559897,168.197030808,210.505009614,194.349175241,41.0854194535,,,
Chile,,,,,,2953.0,3692.0,4908.0,3127.846,5813.102,12878.62,14675.986
China,18270.0,24388.0,30165.0,36895.3,45917.0,57164.0,74146.0,90099.84,101398.42,111846.05,121571.0,129401.86
Croatia,2.7094964676,4.53679112639,32.5372127029,22.8290306338,28.1339848788,49.969057369,56.5021154067,99.3520247834,93.2803192371,175.381585294,166.290788593,130.842305256
Cyprus,,,,-127.442246922,-113.741973615,69.3664304406,147.666280977,302.527604357,427.699865304,406.472017969,,
Czech Republic,35.6954033481,46.7708808583,59.6285672,98.1194773508,48.3490903693,29.8876700517,65.1069255449,115.630311175,168.687881098,190.852914511,202.972556269,
Denmark,,,,-82.3030214354,-53.2882149239,-75.7763097467,137.922881406,132.452837329,,,,
El Salvador,4.2,23.1,29.2,56.2,356.2,355.9,356.6,361.8,,,,
Estonia,9.28535547154,10.0004194807,19.1142332457,26.6021221136,96.6233441433,11.1233884849,40.8934465083,58.9788266861,53.3022163638,65.8747444514,105.194104472,89.8511716276
Finland,,,,,76.9872344642,,,,840.686878291,,329.159210565,
France,98.7053732738,173.035418777,323.327851916,163.452108532,128.587320818,225.207131296,232.591689705,432.818497354,636.745395481,436.937376318,291.127595403,349.641123074
Germany,144.532868008,126.892640437,194.501910918,172.986814863,325.597252714,435.927254146,490.209067543,649.923595706,786.567841476,909.952150681,1045.4715426,..
Greece,,,,,,,,,33.2490582075,,,
