country,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Turkey,Singapore,Indonesia,United States,Bahamas,British Virgin Islands,Cayman Islands,Netherlands Antilles,Gibraltar,Guernsey,Isle of Man,Jersey,Liechtenstein,Switzerland
Sweden,-145.186346676,19890.5294946,..,..,..,1451.86346676,4791.14944031,42394.4132294,7404.50368047,17422.3616011,..,725.93173338,2758.54058684,4936.33578698,3048.9132802,2903.72693352,16260.8708277,..,32812.1143488,4355.59040028,725.93173338,..,..,..,5371.89482701,..,25552.797015,1742.23616011,..,..,59961.9611772,..,..,..,..,..,..,..,..,..,7259.3173338
France,2981.14657692,209485.066448,652.125813702,1089.46415702,901.848595536,10219.2255488,130.683942825,1775.23138174,..,91932.9190264,6836.96984048,4099.07654327,32790.0245453,58493.3564683,103.512033921,432.16274162,73052.3240392,..,171293.007633,19148.4323749,5950.64805003,5024.21534644,1737.70826945,687.06112515,52741.9690835,9085.76877741,159184.687465,4660.62932729,10111.8318136,2558.04113827,241942.558585,1173.56768458,789.279258647,-58.2255190805,..,..,..,..,2574.86184378,..,59063.9665553
British Virgin Islands,,3374.49229994,1157.55825463,166.290788593,,202.972556269,105.194104472,329.159210565,291.127595403,1045.4715426,,..,..,6.63770917518,57.1691176471,82.4642241702,..,..,126.802241553,49.5113243987,,245.841080562,32.3475106003,32.2181205579,..,..,..,42.0,40769.7393711,..,51012.0,..,..,..,..,..,..,..,..,..,..
Poland,249.195294668,2741.47012349,47.1118394101,43.3077778428,4297.06794639,2461.60824018,18.2009714988,216.099959033,1008.36893545,2243.51846433,12.8752853046,491.162872359,427.488734125,544.12711418,30.4032305261,2469.59676947,11762.7728683,191.461344882,3414.20378065,..,20.395622403,636.975478434,195.967694739,18.4643296073,469.508983438,31.398138936,5646.16375022,241.499385498,296.04377597,27.711125417,2020.3956224,17.5279452215,9.01269971323,6.08649850764,,..,,155.352022005,9.59793995435,103.265640545,4919.06127465
Hungary,136.541166694,8.56821921223,1074.44102543,3764.93364218,1175.47679076,326.52342945,,,18.9494515539,129.098005651,5.73033903939,..,15.1844191458,678.598188466,,5.24936430115,177.662551936,,208.318996177,338.366420143,44.3748961276,596.805658966,2057.0363761,104.4117999,26.5031826492,1.54116669437,56.6010179491,79.3149119162,436.53542463,..,565.037518697,..,..,..,..,..,..,..,..,17.8474488948,1411.44478976
Switzerland,10280.5824211,14649.4845361,506.855138697,590.179615262,..,3435.54044,..,2725.6881709,40321.0755659,62780.316718,2120.5229036,16491.8694867,18297.90626,26735.9974493,..,..,109181.634605,..,82819.1093634,5583.05877351,1946.11542141,2801.99808694,837.708576894,..,15778.4036561,6018.81177596,58476.4587097,2819.2156446,21002.4444681,7439.68540759,217774.471251,..,..,..,..,..,..,,..,..,..
Bahamas,..,671.534314184,28.4994507393,,,30.9165997994,,..,218.669171658,,..,..,..,5.99075896317,27.0220588235,,..,..,..,..,,5.17560169604,1.29390042401,1.94085063602,..,..,..,224.0,16873.2989929,..,2228.0,..,..,..,..,..,..,..,..,..,..
Greece,401.911349706,..,2621.50695407,,12010.5401129,,..,..,20.3918706824,492.380867353,..,,,40.6543513224,..,..,130.463979753,..,7577.3655411,,,4031.08207599,,,182.892824934,,-74.8650785333,6309.31724756,,,2981.32772298,,,,..,..,,..,,..,
Latvia,8.45588235294,,-0.551470588235,-0.551470588235,59.7426470588,,108.823529412,9.19117647059,15.0735294118,-31.6176470588,..,..,,1.10294117647,..,182.169117647,1.65441176471,,,37.5,-4.77941176471,3.86029411765,18.9338235294,0.919117647059,,9.19117647059,5.88235294118,,..,..,,..,9.55882352941,..,..,..,..,..,..,..,174.816176471
Estonia,1.29390042401,3.49353114483,60.6839298861,11.5157137737,809.334715219,0.905730296808,..,393.345728899,18.373386021,36.4879919571,1.16451038161,0.646950212006,0.517560169604,105.711664642,898.484454433,1041.84862141,0.517560169604,11.5157137737,89.9260794688,44.2513945012,24.7134980986,29.3715396251,12.5508341129,..,73.6229341262,115.674697907,8.15157267127,2.58780084802,..,..,93.8077807408,..,2.71719089042,..,..,..,..,..,..,,6.85767224726
